cdo	Mìng-dĕ̤ng-ngṳ̄
or	ଓଡ଼ିଆ
map-bms	Basa Banyumasan
fo	Føroyskt
mzn	مَزِروني
hsb	Hornjoserbsce
xmf	მარგალური (Margaluri)
mai	मैथिली
li	Limburgs
sah	Саха тыла (Saxa Tyla)
sa	संस्कृतम्
vec	Vèneto
ilo	Ilokano
os	Иронау
mrj	Кырык Мары (Kyryk Mary)
hif	Fiji Hindi
mhr	Олык Марий (Olyk Marij)
bh	भोजपुरी
eml	Emiliàn e rumagnòl
roa-tara	Tarandíne
ps	پښتو
diq	Zazaki
pam	Kapampangan
sd	سنڌي، سندھی ، सिन्ध
hak	Hak-kâ-fa / 客家話
nso	Sepedi
se	Sámegiella
zh-classical	古文 / 文言文
bcl	Bikol
ace	Bahsa Acèh
mi	Māori
nah	Nāhuatl
nds-nl	Nedersaksisch
szl	Ślůnski
wuu	吴语
gan	贛語
rue	Русиньскый
frr	Nordfriisk
vls	West-Vlams
km	ភាសាខ្មែរ
bo	བོད་སྐད
vep	Vepsän
glk	گیلکی
sc	Sardu
crh	Qırımtatarca
fiu-vro	Võro
co	Corsu
lrc	لۊری شومالی
tk	تركمن / Туркмен
kv	Коми
csb	Kaszëbsczi
gv	Gaelg
as	অসমীয়া
myv	Эрзянь (Erzjanj Kelj)
lad	Dzhudezmo
so	Soomaali
zea	Zeêuws
nv	Diné bizaad
ay	Aymar
udm	Удмурт кыл
lez	Лезги чІал (Lezgi č’al)
ie	Interlingue
stq	Seeltersk
kw	Kernewek/Karnuack
nrm	Nouormand/Normaund
pcd	Picard
mwl	Mirandés
rm	Rumantsch
koi	Перем Коми (Perem Komi)
ab	Аҧсуа
gom	गोंयची कोंकणी / Gõychi Konknni
ug	ئۇيغۇر تىلى
lij	Líguru
cbk-zam	Chavacano de Zamboanga
gn	Avañe'ẽ
mt	Malti
fur	Furlan
dsb	Dolnoserbski
sn	chiShona
dv	ދިވެހިބަސް
ang	Englisc
ln	Lingala
ext	Estremeñu
kab	Taqbaylit
ksh	Ripoarisch
frp	Arpitan
lo	ລາວ
gag	Gagauz
dty	Doteli
pag	Pangasinan
pi	पाऴि
olo	Karjalan
av	Авар
xal	Хальмг
pfl	Pälzisch
bxr	Буряад
haw	Hawai`i
krc	Къарачай-Малкъар (Qarachay-Malqar)
pap	Papiamentu
kaa	Qaraqalpaqsha
rw	Ikinyarwanda
pdc	Deitsch
bjn	Bahasa Banjar
to	faka Tonga
nov	Novial
ha	هَوُسَ
kl	Kalaallisut
arc	ܐܪܡܝܐ
jam	Jumiekan Kryuol
kbd	Адыгэбзэ (Adighabze)
tyv	Тыва
tpi	Tok Pisin
tet	Tetun
ig	Igbo
ki	Gĩkũyũ
na	dorerin Naoero
roa-rup	Armãneashce
lbe	Лакку
jbo	Lojban
ty	Reo Mā`ohi
mdf	Мокшень (Mokshanj Kälj)
za	Cuengh
kg	KiKongo
lg	Luganda
wo	Wolof
bi	Bislama
srn	Sranantongo
tcy	ತುಳು
zu	isiZulu
chr	ᏣᎳᎩ
kbp	Kabiye
ltg	Latgaļu
sm	Gagana Samoa
om	Oromoo
xh	isiXhosa
rmy	romani - रोमानी
tn	Setswana
cu	Словѣньскъ
pih	Norfuk
rn	Kirundi
chy	Tsetsêhestâhese
tw	Twi
tum	chiTumbuka
ts	Xitsonga
st	Sesotho
got	𐌲𐌿𐍄𐌹𐍃𐌺
pnt	Ποντιακά
ss	SiSwati
ch	Chamoru
bm	Bamanankan
fj	Na Vosa Vakaviti
ady	Адыгэбзэ
iu	ᐃᓄᒃᑎᑐᑦ
ny	Chichewa
atj	Atikamekw
ee	Eʋegbe
ks	कश्मीरी / كشميري
ak	Akana
ik	Iñupiak
ve	Tshivenda
sg	Sängö
ff	Fulfulde
dz	ཇོང་ཁ
ti	ትግርኛ
cr	Nehiyaw
din	Dinka
ng	Oshiwambo
cho	Choctaw
kj	Kuanyama
mh	Ebon
ho	Hiri Motu
ii	ꆇꉙ
aa	Afar
mus	Muskogee
hz	Otsiherero
kr	Kanuri
